sentences	labels
Agreed great idea! Wish we could also remove her from existence! MAGA PatriotsUnited ProLife ProIsrael WeAreQ. URL	1
“THEY’VE REALLY HAD A BIG IMPACT SINCE I DECIDED TO PUT THEM ON YESTERDAY” maga	0
Time to vote and spit in the eye of all these liberals	1
"Trump ""Authoritarian!"" Trump ""Authoritarian!"" Dems ""That's exactly what we need!"""""	0
GOOD!	0
She has no credibility. Lives in a $4 million mansion and associates with Antifa. Who would stab her in the back anyway.	0
He wants in the White House! URL	0
The fact she is going to vote yes on Kavanaugh makes me think she knows how bribes work.	0
Just focus on Price stats when he is behind the plate....	0
No deal it is then. If only the would grow a pair &amp; dump the appeaser	0
Unreal! Liberals have completely lost it and will do anything opposing our President! Very sad!	0
you are great on the Five. Can you stay in thst spot permanently?	0
Good for you Jimmy... your one pare will offset the 50% plunge their market shares are about to take	0
All that shit was hers URL	1
And the only people who actually watch the Emmys are low intellect liberals and crackheads.	0
.You cry baby liberals will have Trump for a total of EIGHJT GREAT YEARS!!! GET OVER IT. MAGA URL	1
Plenty of ppl work a full shift and still manage to find their way home correctly. This bullshit is not flying with the public.	1
Doubling down was absolutely stupid. You never double down on a pair of eights!	1
Liberal Dictionary Dreamers -Trump Supporters Human Beings -Human Beings in the Womb Protestors -Law Abiding NRA Members Feminist -Brett Kavanaugh: Predator	1
Nahhh you are!	0
a perfect description of ANTiFA. Fascist shit bags.	1
OMG why do we care about these Hollywood Liberals??	0
Could it be that President Trump is normal and most of Washington D C are insane and totally out of touch with the forgotten middle class working people of America? Drain the swamp &amp; MAGA.	0
Copycat	0
She is a lost Soul who has to follow the Party Line. I also believe she has sold her Soul for the Lousy 30Pieces of Silver from the guidance of her Horrible Mother.	1
She will be remembered as the witch that used her genitalia to make a false claim against a good man b/c she is a die-hard democrat that hates republicans so much. She is willing to ruin a good mans name all in the name of power. Democrats are crying wolf way too many.	1
Not saying much to claim you are smarter than	0
The bigger problem is liberal gun control nuts that want open borders to try and ‘cleanse’ a society from established cultures. Then create a ruling class or a communist structure that has been proven to fail. England is now a Muslim breeding ground. Shameful	1
Amazing what liberals can dig up when they’re desperate! URL	0
It’s not bizarre. It’s smart business. He is gonna get paid by someone next year and is saving his body in the process. Yes Connor did well. But it’s because the Browns didn’t gameplan for him like they would Bell	0
Liberals Can you believe Trump ordered an investigation of a private citizen??? He's a dictator!	1
Antifa members	0
Does he know who you are? Lol	0
I hope you didn’t just invite Antifa. Good luck &amp; be safe.	0
You have done the needful and sincerely you are going higher as you can be trusted. You’ve proven that integrity is foremost. All the best pretty Kemi.	0
He’d shat his pants if he faced any Antifa	1
Wish u folks luck w that. I think you’re fucked though.. There will never be enough pro gun folks elected in California to turn the tide on gun control. The masses are convinced guns only equal bad. They already tell u which &amp; how many guns you can buy. Now ammo. What’s left?	1
"It really sucks when commies atheists liberals refugees and anyone who isn't one of (us) uses our"" precious tax dollars...."""	1
Do you support our POTUS? (Please help by retweeting and following after voting!) Long live USA MAGA	0
The liberals can never handle the truth...the truth will make their heads	1
You are so correct the Democratic party for slavery and pro-nazi gun control	1
Sounds like he joined Antifa .. Gov. of WA state recently took anti- POLICE stance won't sign certificates recognizing top 20 law enforcement officers for Police Combat competition excellence ThinBlueLine MAGA KAG BlueLivesMatter LawEnforcement 2A	0
"culture of our nation"" culture exists? what culture is that, because it's not the American culture it once was."""	0
Violent liberals ANTIFA with their KKK hoods beating up strangers they know nothing about is exactly what comes to mind when dems say they care about anything. Either you care about human life or you have people beat up. My black conservatives friend has been attacked by them.	0
Two words I thought I would never hear together ticats and cornhole	0
Jeff I have a lot of respect for you. Please vote no to Brett - not because you don’t like him but because it’s the right thing to do. He has lied - he is hiding documents - he thinks trump is above the law. THIS IS WRONG !!!	1
Hope you blisters	1
"I dont think at your job is the place to protest perceived police violence or whatever you are protesting"". If you really cared go to your local PD and protest there, taking a knee at a ballgame on your job doesnt take guts and only makes you look ignorant."""	1
"I don't know where he is. He is often gone without telling me where he goes to."" He shrugs his shoulder. ""Why don't you go to your girlfriend?"""""	0
"That and racist!"" Imagine if it was a black woman that accused him of the same. I should probably keep that to myself because i can see some Dems seeing this somehow and thinking ""how can we make this even worse on Kavenaugh? Got it!"""""	0
Well if Osuna did do that than he's the ass. Not really sure why you went there. Are you claiming I punch women? If you are sir you are the asshole and completely wrong. My tweet had nothing to do with Osuna it was a clear fact that Giles punches himself when he sucks.	1
He is such an A-Hole. Sad.	1
he is on the island dummy	0
I fully support Antifa. I give them money. White nationalism is cancer in a proudly multicultural society. It should be illegal. It is in Germany. We had two wars over this issue. White nationalists lost both. We are done with this discussion.	1
I wouldn't say I'm conflicted - Article 7 would be justified - but you are right in stating that the really important decision will be taken (or postponed) inside the The Sargentini report was but a prelude. Those who want Orban out should now push harder.	0
Liberals should just be banished from the United States &amp; dropped in the middle east.	0
The last thing parents need to learn from the liberals is the ethics of raising their own child.	0
", asks, How deez taste?"""""	0
Alien-ilegal! See?	0
Eddie you are the king of L’s. You need to learn how to get W’s. Mike and I consistently get W’s which is something that you can’t ever get.	0
Fuckin poisonous group of people. As soon as someone hands me a hat with a propeller on top... I'm out. Find another company to work for lemmings.	1
my name is Whitney NOT WHITEY	0
man that sucks unreal	1
I follow civil liberals or center-left people and a few of them I’ve interacted with for yrs. I learn from them occasionally and hopefully vice versa. Never thought about blocking them. I guess a shift is what ppl might see as problematic ‍	0
Actually MAGA spends atleast $40 2 times a yr on shoes ..libnuts just put the same pair in the dishwasher every 6 months.	0
Followed most patriots already and got the rest appreciate a follow back MAGA	1
Shorty's dad taught him eveything about Pussygrabbing Sexual assault trump family time. maga girls have to stay silent. URL	1
Oh course the NFL will cower in fear of liberals who trying to destroy the game. Will submit to their demands	0
2. This lady nails it “Brexit seems to have unleashed an angry incivility”. Unless moderate OneNation stand up &amp; fight for a sensible moderate Brexit (for me that’s EFTA we risk becoming a HardBrexit party rejected by moderates &amp; replaced by Corbyn URL	0
Her dog ate it. VoteRed2018 NoVoterFraud NoCaliforniaDemocrats BuildTheWall NoSanctuaryCities NoSafeSpaces NOHOMELESSCITIZEN NoAmnesty NoPelosi NoWaters NoHarris nonewsom NoSchiff NoLieu NoFeinstien NoVoterFraud Walkaway PatriotsUnited MAGA PardonMyFrench URL	0
This Pope has to go.	0
Word cause her music SLAPS THERE'S NO REASON SHE SHOULDN'T BE SELLING OUT BIG ASS SHOWS (idk if she is or isn't but she DESERVES)	1
He is our president and im of him	0
Yeah like conservatives are synonymous with truth telling. Pleeease.	0
If this clown had his way we all would be working for $3ph so he can get bigger entitlements paid for by us. How out of touch this fool is. I hope his electorate works out what a joke he is. auspol	0
“Antifa is bad” how hard is it to say that? URL	0
is the only one worth slapping your cock on cocktribute and cumming all over cumtribute she is my CumSlave after all	1
It is all okay with the liberals if it furthers their agenda. They have no core.	0
I'm not in uncomefortbul miss Williams is a great actor or she thinks she is miss Williams is out of order in what she said to the ref rules apply even to miss Williams but your turning it in to o as a women don't this bone that miss Williams is out of order that's a stone wall	1
They need to only ever see the sky from the safety of a HMP exercise yard	0
Trump hasn't given up anything. He is profiting from his office and basking in the power and attention.	0
And Who Would Listen to a Man that Robbed American Taxpayers of Millions of Dollars and Gave it to Iran? NOT ME!	1
Suck it Winning MAGA URL	1
If you stand up for what's right? The Conservatives were mad one of there's crossed but it's ok for a Liberal. That's double faced!	0
As usual a seemingly and supposed smart feminist thinks she has made sense.. Yen yen yen yen yen yen alone... You just told me rn you are also dealing with another person.. Have you considered maybe you are the toxic one?	1
So was the IRS targeting of Conservatives... Obama sure set the mark for low deeds..	0
Eric maybe jail for you.	0
It is true. The Sullivan Act innNew Yourk was enacted SPECIFICALLY to disarm ethnic minorities. They fkat out said that was the purpose when it was enacted. Gun control in New York City is based on that law to this very day. Gun control doesn’t disarm the privileged. Not at all.	0
"If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards""?"""	1
"In Trump world, Your name is Toby, a fine name, now SAY YOUR NAME!!"" That's what the maga means to Trumpers!! URL"	0
They have to. Now that she is the one who hasn't left family in terrible times.	0
Antifa unmasked and up close!Hey is that who I think it is??? p.s. They are SO STUPID no one told them a white raised fist stands for “White Power”so Thanks D*MBASSES! URL	1
I guarantee the “threats” she is receiving are “Soros Generated”. Republicans don’t pull Antifa-like tantrums like Dems do.....that is if she is really receiving any at all.	0
Grow a pair. M	0
Liberals had some sort of mutual masturbation awards show. This is me still not caring. URL	1
Choosing heartless politician over your ancestors country. Speaks volumes as to who you are.	1
Uhhh no. Sadam gassed the shit out of the Kurds (sp?)	1
(( Bam! There she is! URL	0
We handed our nationalised industries over to be run for profit by the nationalised industries of other countries. Smart.	0
Let’s Geaux Tigers! Prove yourselves you are worthy! Show the Nation !	0
The argument will be made that the assault was decades ago and there have been no other complaints against Kavanaugh. But his lying in current and ongoing. That is enough to vote against him. He is now aligned with Trump in the way he handles accusations.	0
USA Antifa are connecting with the Philippine's CPP-NPA and vice versa. President Duterte should be informed about this!	0
No just imagining if we found a picture of Bret holding a woman like this. Liberals will go insane	1
Wow !!! no wonder the Liberals only got worse as a party of bullies to women...??? no accountability.	1
And their last hit and ounce of relevance? NetherlandsTaxHaven	0
What I don’t understand is the fact that he’s lied about almost everything to do with Russians and collusion and still he is president.	0
Attention lefties demanding gun control. Most of these shooters are left wing. You don't get to shoot congressman and create violent chos and then demand we normal people disarm.	1
Please tell me this will be streamed somehow. You are going to absolutely wipe the floor with Totally An Actual Human Ted Cruz.	1
10: Kevin Williamson's excellent piece on why even if there is a bias against conservatives at social media giants it still shouldn't be the governments business URL	0
More than that how low she is	0
Kamala Harris interviewed by CBS This Morning on Kavanaugh's character. MAGA MakeAmericaGreatAgain TheResistance URL	0
ANTIFA: THE ANARCHIST WHO WANTS TO ABOLISH GOVERNMENT... BY JOINING IT URL	0
he is going extinct	0
Hillary hasn’t ever left the convo of any Trump lover. She is their answer to the exposé of every despicable Trump lie they swallow.	0
Truly you are amazing sir ji ..	0
Another crazy liberals	1
Ya niggas	0
*accept. I don’t hate men. I don’t hate conservatives. I hate stupid. And I hate hypocrites. And the fact that you think being a conservative matters at all in this matter means to me that you are not so much into law and order as you think you are.	1
6 more white boys standing up for you every day Ms. . I think the poster adds speshul emphasis. Don’t you? MAGA WWG1WGA URL	1
It's ok. I'm glad you are ok. It's good you had a nice safe and dreams.	0
Its clear you wouldn't listen anyways since you are more interested in arguing over the non existent racism of that tweet rather than calling out the ignorant white girl on display	1
Sure thing	0
Thanks for spreading Joe Biden’s words...he is a great American that I respect very much.	0
You are carrying Dave. Get out while you can.	0
"Ya Obama on trade 2-YEARS AGO: Trump is just NOT TELLING THE TRUTH"" ""How STUPID could our leaders be"" Trump God bless Trump! MAGA KAG .. (Full Link+Trump's ANSWER URL"	1
Hopefully it is joking. I hate boycotting the Leftist entertainers but I do. Stop saying stupid stuff.	1
No they aren’t! They have all said she could speak in or out of the public &amp; she should be heard! Stop spreading lies! Of course u liberals think u should just ruin his life with no evidence	1
Why aren’t you speaking out against the injustices that are still occurring to the Windrush generation/black Britons whose records Theresa May destroyed as Home Secretary and whom now she is deporting as prime minister? InstitutionalRacism	1
Charge!!!! People know how good you are at makeup by pictures! You can’t keep doing that you’ll be skint!	0
Sounds like he joined Antifa - Gov. of WA state recently took anti- POLICE stance won't sign certificates recognizing top 20 law enforcement officers for Police Combat competition excellence ThinBlueLine MAGA KAG BlueLivesMatter LawEnforcement 2A	0
Yet more evidence that the have turned ‘The Party of Business’ into ‘The Party of Fuck Business’. Bizarre.	0
Now this is how we MAGA URL	0
He is also speaking as the other man in the room. Remember he kept silent and allowed kids to be sexually assaulted....we will call him the Mark Judge in this case.	0
Nope. Teaching them not to give a shit what liberals from CA think.	1
Is there an aluminum pole anywhere to be seen?	0
Liberals didn't give Juanita Broderick a chance to be heard or Keith Ellison's accuser. Can't have it both ways.	0
By screaming and attacking the judge? Sure.	0
Weird	0
Carlson showed us exactly who he is - a slimeball Fox representative. Fox watchers who love his views ate it up. Normal intelligent people were disgusted by his tactics. Loved that Avenatti laughed in his face.	0
I see you support gun control	1
Looks like ANTIFA thugs.	1
Another INSANE O.. appointees.. AMOUNTING TO NUT N.. JWB.. the next ONE Could be real famous.. former..first BLACK president.. OR former first BLACK lady... JUST SAYN IT...and FREEDOM OF SPEECH... r my Am O!!	1
The UNHINGED REPUBLICAN PARTY I have a question why do you want the wall and not gun control in America when a illegal immigrant does something the UNHINGED REPUBLICAN PARTY talk about the wall but when a school shooting happens the UNHINGED REPUBLICAN PARTY is mute	1
both of you are going to have to take several seats when it comes to Kyle	0
This MAGA would spend more than you &amp; your homies together....Now stop ya whining...	1
I don't entertain shit.	1
As suspected this is about derailing Judge Kavanaugh’s confirmation because he is a conservative and will adhere to the Constitution and the law. He’s not an activist judge which is what they want.	0
What happens next is whoever inthe GOP votes against him gets destroyed and we vote MORE republicans to the Senate to ensure margin of victory for AMY CONEY BARRETT liberals worst nightmare.	1
This is liberals for ya.	0
After the GOP wins the mid-terms easily there will be no reason we dont put on the masks and grab weapons to go all ANTIFA on people like you clowns have been doing. Going to be so much fun!!!!	1
Did he complain about gun control afterward?	0
Thank you Jourdan!!! &amp; Hayley is yours she is literally in my DMs as we speak and still hasn’t wished me happy birthday. Fake mom	0
She is the absolute worst! elizabethholmes theranos 60minutes So happy CMS SHUT this fraud down!	0
I have listened to her before an have come to a conclusion.......SHE IS A TWIT....an NY TIMES doesn't get any of my money....	0
She is so cute ♡	0
That’s hilarious! Try again. It’s the liberals and their media lackeys that have done just that.	0
How is what she is doin g patriotic? I mean—you’re basically saying it is a political act against the nominee. Like—she waited to come forward until it would cause max damage...I’m not saying she’s lying at all...but what you’re saying is crazy.	0
1 year today our founder sadly passed away. Mandy devoted her life to saving animals across the UK. We all hope she is looking down on us with a smile knowing we are continuing the work she started 20+ years ago. forever in our thoughts Mandy Leigh From all the staff &amp; Trustees URL	0
He is sick. Very disturbed. And that comment proves it!	1
No gun control people can ever explain the logic of any gun law or any weapon restriction. Always just blanket statements for the sheep to follow 2A CruzCrew TX Florida VoteRedToSaveTexas VoteRedToSaveFlorida	0
Trumpwashing and US liberals' historical amnesia are the real definition of Trump Derangement Syndrome... URL	1
Cockroach	1
Conservatives *lied*!?! About their virtues? This is my shocked face.	0
She is a long time proponent of killing the unborn.	0
Conservative women are invisible to liberals. It makes us stealth. We are actually what feminists aspire to be. We know what we think. We know what we expect. We vote. And that’s our superpower.	0
None of these issues are A) real problems or B) handled better by Conservatives. Happy to support Trudeau for a second term. Trans Mountain pipe and NAFTA will get done - properly. Saudi spat? Yay. You wouldn't know prosperity if you fell into a pile of 100's.	0
Remember when republicans destroyed Merrill Garlands career? NO- neither do I! Only Dems - liberals can not tolerate views they disagree with. ANTIFA-great example!	0
Most Texans don't take advice from liberals	0
God that's the one we should have used to remove Holder.	0
"You are more than your productivity""?"""	0
they're just wasting their money dims don't read books and conservatives don't read smut	0
Why is this crook walking free?	1
You are 100% right; successful prosecution will send the right message. That said the inability of a voter to take a photo evidence of the party voted reduces the likelihood of vote buying. No party will waste money with this new approach because there is zero guarantee.	0
This is just obstruction. CALL THE VOTE!!!! MAGA	0
I have backtraced your IP and have sent you information to AntiFa.	0
Odd how conservatives keep getting exposed of being child fuckers. Thats why they're against abortion. More victims	1
My husband. He is also my first reader always.	0
Its unfortunately not as cut and dry as all that. Gun laws vary per state. Even cities. Compare Chicago that has extreme gun control with New York that has almost the same level. Yet Chicago has horrible gun crime and NY not to that extent? Criminals are the problem.	0
Goodness. Your wife and ex-gf were both sexually abused? You liberals are into some weird stuff URL	0
Guess the robber didn't know about all of NYC's gun control laws	1
Brian so sorry for your loss But she is probably with Grandpa looking down on all of you with a huge smile So sorry but God wanted her to	0
Picked the fuck up	1
"...or the many other instances where AR-15s used for home defense are labeled mass shootings"" by gun control: URL"	0
9 times out of 10 I have the dog on my lap and if I get to rowdy he gets scared that I am hurt then he trys to kiss me.Also he is a ham so when the camera comes out he is like pictures?!Let me be in them.He photo bombs whenever possible.	0
Or go to a baseball game with a terrorist? Who was that? Liberals seem to be the most perfect people but suck at everything.	0
When tRUmp posts shit like this you know that he is distracting from something else that is going on. Distractification	1
11/COPY: URL	0
They forget about Antifa and all threats to conservatives when it’s convenient!	0
I mean if Allsup was a communist or some Antifa shithead people would be coming to her defense despite what a shit she is. This political team sports is dumb. Allsup is a Dickweed.	1
WHY ! DO the gun control people believe legal owners are not following current laws ? You fools. It is about making the citizens of the USA defenseless.	1
Why did Feinstein NOT come forward with that letter 6 weeks ago then? No need then to question him way back then? LOL you liberals are very funny. I am sure the MeToo movement appreciates the set back you all just gave it.	0
I stand with you MAGA	0
Murda fucker	1
All you need to know about the importance of the midterms	0
if you are in a state with medical pot go get him some brownies or a tincture it will help.	0
She is such a witch. All she needs is a broom	1
Aaron has barely been in it this last year. He is in a few episodes then he is sent out of town for a few weeks. Robert had that story with the whites	0
he is already on betfair exchange but not on sportbooks.	0
God help us. Please get out and vote!	0
9.15am appointment with a specialist and she is already running 45 minutes behind schedule. Front end booking strategy so she never has in paid appointments all day. The arrogance of medical specialists is impressive. Architects could learn a lot from them.	0
"Here are the People"" who ""Hold you up"" and who YOU hold up. 1st Photo They are beating a Republican Korean War VET. 2nd &amp; 3rd Photo ANTIFA is Beating Minorities, LGBT and Kids Because they are Conservative. The LEFT, YOUR LEFT is all about shutting down FREE SPEECH! URL"	0
Now I see why the Conservatives love him!	0
Be safe you fucker	1
. writes this vile garbage then she points to the comments and goes on talking about “those mean Liberals were picking on me.” They always play the victim card after they bully someone. Hannity does this a LOT!	0
So a cop kills someone and this becomes a gun control issue?	0
I condemn Israeli actions on the basis of international law. When you count angels on the head of a pin you are doomed to endless debate and mind games.	0
Best news ever for GOP. Ready the straight jacket.	0
we would hang 70 plus on the frogs and cocks!	0
you always have such a lovely way with words......you are one wonderful person.....the biggest of hearts. Thank you so much for that ')	0
You didn’t read the whole thing most white mass shooters aren’t even considered terrorism because there’s no “political” agenda to their murder like Dylan roof	1
Could you kiss his ass more? You are a complete disgrace as a Senator VoteHimOut VoteBlue VoteThemOut Blackmail URL	1
you are welcome	0
Fuck you it’s 3	1
60 WW Resignations In Five Days The Global Swamp Is Being Drained. MondayMood MAGA DeclassifyItAll URL URL	0
Crush him Beto !!! Make him look like the idiot he is.	1
Looks less like she is getting $200 dinners a day and more like she's getting 200 dinners a day	0
"I'm tired off that piss poor excuse from conservatives"" which is pretty much synonymous with ""bigot"" nowadays. It's not fear they feel, it's shame. The same shame all hypocrites feel."""	0
"Another Dem-run sanctuary city"" with strict gun control laws . . . the ultimate fail."""	0
notice his expression. He didnt know who it was or intentions. Security behind urged him to walk away. He is a great spirited man.	0
He really bisca fool huh	1
Horseshit	0
Did she make some sort of sexual or foul joke? Liberals really like making her do that	1
No. But I am. You are hilarious. Not in a good way.	1
When they go low???	0
AUSTRIA	0
REST IN PUSSY	1
Got something to hide Eric?	0
She is flat out lying!	0
Fake news he is a liberal dem.	1
You mean the same way the liberals and Dems are already taking them away?	0
Glad to jump in MAGA	0
